Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
1006;AMBLEON;1300;;AMBLEON;45.7494989044,5.59432017366
1007;AMBRONAY;1500;;AMBRONAY;46.0055913782,5.35760660735
1014;ARBENT;1100;;ARBENT;46.2834936005,5.69061651221
